iter	Passed	Remaining
700	1141	487
701	1143	485
702	1144	483
703	1146	481
704	1147	480
705	1149	478
706	1150	476
707	1152	475
708	1153	473
709	1155	471
710	1156	470
711	1158	468
712	1159	466
713	1161	465
714	1162	463
715	1164	461
716	1166	460
717	1167	458
718	1170	457
719	1172	455
720	1173	454
721	1175	452
722	1176	450
723	1178	449
724	1180	447
725	1181	445
726	1182	444
727	1184	442
728	1186	440
729	1187	439
730	1188	437
731	1190	435
732	1191	434
733	1193	432
734	1195	430
735	1196	429
736	1198	427
737	1200	426
738	1202	424
739	1203	423
740	1205	421
741	1207	419
742	1208	418
743	1210	416
744	1212	414
745	1214	413
746	1216	411
747	1217	410
748	1219	408
749	1221	407
750	1223	405
751	1225	404
752	1227	402
753	1229	401
754	1230	399
755	1232	397
756	1234	396
757	1236	394
758	1238	393
759	1240	391
760	1242	390
761	1243	388
762	1246	387
763	1248	385
764	1249	383
765	1251	382
766	1254	381
767	1256	379
768	1257	377
769	1258	376
770	1261	374
771	1263	373
772	1265	371
773	1267	370
774	1270	368
775	1272	367
776	1273	365
777	1275	364
778	1277	362
779	1279	360
780	1280	359
781	1283	357
782	1285	356
783	1287	354
784	1289	353
785	1291	351
786	1293	350
787	1295	348
788	1297	346
789	1300	345
790	1301	343
791	1303	342
792	1304	340
793	1306	339
794	1308	337
795	1309	335
796	1311	333
797	1312	332
798	1315	330
799	1317	329
800	1319	327
801	1323	326
802	1324	325
803	1326	323
804	1328	321
805	1330	320
806	1332	318
807	1334	317
808	1335	315
809	1338	313
810	1339	312
811	1341	310
812	1342	308
813	1346	307
814	1348	306
815	1349	304
816	1352	303
817	1355	301
818	1356	299
819	1358	298
820	1362	297
821	1364	295
822	1367	294
823	1370	292
824	1372	291
825	1373	289
826	1376	287
827	1378	286
828	1379	284
829	1381	282
830	1384	281
831	1386	279
832	1388	278
833	1390	276
834	1392	275
835	1394	273
836	1396	271
837	1398	270
838	1400	268
839	1401	267
840	1403	265
841	1405	263
842	1408	262
843	1410	260
844	1412	259
845	1415	257
846	1418	256
847	1419	254
848	1421	252
849	1423	251
850	1425	249
851	1427	247
852	1429	246
853	1431	244
854	1432	243
855	1434	241
856	1438	240
857	1440	238
858	1442	236
859	1445	235
860	1446	233
861	1448	231
862	1450	230
863	1452	228
864	1455	227
865	1457	225
866	1459	223
867	1462	222
868	1464	220
869	1465	219
870	1467	217
871	1470	215
872	1471	214
873	1474	212
874	1475	210
875	1477	209
876	1479	207
877	1481	205
878	1483	204
879	1484	202
880	1485	200
881	1489	199
882	1492	197
883	1494	196
884	1497	194
885	1499	192
886	1501	191
887	1502	189
888	1505	187
889	1507	186
890	1508	184
891	1510	182
892	1512	181
893	1513	179
894	1515	177
895	1518	176
896	1520	174
897	1521	172
898	1523	171
899	1524	169
900	1526	167
901	1528	166
902	1530	164
903	1532	162
904	1535	161
905	1537	159
906	1539	157
907	1541	156
908	1543	154
909	1544	152
910	1546	151
911	1548	149
912	1550	147
913	1552	146
914	1553	144
915	1554	142
916	1558	141
917	1560	139
918	1562	137
919	1565	136
920	1567	134
921	1569	132
922	1571	131
923	1573	129
924	1575	127
925	1576	125
926	1578	124
927	1581	122
928	1582	120
929	1584	119
930	1586	117
931	1588	115
932	1590	114
933	1593	112
934	1596	110
935	1597	109
936	1599	107
937	1602	105
938	1604	104
939	1606	102
940	1607	100
941	1610	99
942	1612	97
943	1614	95
944	1616	94
945	1618	92
946	1620	90
947	1621	88
948	1624	87
949	1625	85
950	1627	83
951	1629	82
952	1632	80
953	1633	78
954	1635	77
955	1636	75
